word,info,POS
corporate culture,企业文化
corporate image,企业形象
physician,内科医生
wrap up,包裹，使穿暖
be appealing to sb.,对...有吸引力的
inform sb. of sth.,通知某人某事
a 30% leap,30%增长
expenditure,花费,n
domestic,国内的
fond,喜爱的,adj
be fond of,喜欢，=like,v
assume the responsibility,承担责任,v
a suite of sth.,一套...
facial tissue,洗脸巾,
be drawn to sth.,吸引
a clap of thunder,一阵雷鸣
amuse myself by sth.,用什么消遣
contradictory,矛盾的,n adj
compromise,折中，损害,n v
ought to,应该，比起should更有严峻性，侧重反映客观情况，道义，法律
consensus,一致，共识
overcome one's shortcoming,克服缺点
maid,女仆，少女
campaign,（政治，商业，社会性）运动，战役
march abreast,并肩而行
in chorus,异口同声的
